Posted,Title,URL
,Blue Skies Over Mastodon – Erin Kissane,https://erinkissane.com/blue-skies-over-mastodon
,"Dialogs, modality and popovers seem similar. How are they different? – Hidde de Vries",https://hidde.blog/dialog-modal-popover-differences/
,The WebAIM Million – 2023 Report,https://webaim.org/projects/million/
,Semi-automating a Substack newsletter with an Observable notebook – Simon Willison,https://simonwillison.net/2023/Apr/4/substack-observable/
,Three ways AI chatbots are a security disaster – MIT Technology Review,https://www.technologyreview.com/2023/04/03/1070893/three-ways-ai-chatbots-are-a-security-disaster/
,"So long, Twitter API, and thanks for all the fish – snarfed.org",https://snarfed.org/2023-04-03_so-long-twitter-api-and-thanks-for-all-the-fish
,@stefan on front-end.social (Mastodon),https://elk.zone/front-end.social/@stefan/110117172307719974
,Proposal: The Interactivity API – Make WordPress,https://make.wordpress.org/core/2023/03/30/proposal-the-interactivity-api-a-better-developer-experience-in-building-interactive-blocks/
,@stephaniewalter on front-end.social (Mastodon),https://elk.zone/front-end.social/@stephaniewalter/110118026769046267
,Multiple Choice Questions – Learn Prompting,https://learnprompting.org/docs/applied_prompting/mc_tutorial
,@estelle on front-end.social (Mastodon),https://elk.zone/front-end.social/@estelle/109991884149979666
,3D Book – CodePen by Max Böck,https://codepen.io/mxbck/pen/XWMrMOp
,"We come to bury ChatGPT, not to praise it – Dan McQuillan",https://www.danmcquillan.org/chatgpt.html
,Generative AI is the tech industry's Hail Mary pass – Software Crisis,https://softwarecrisis.dev/letters/ai-is-a-hail-mary-pass/
,How ChatGPT actually works – AssemblyAI,https://www.assemblyai.com/blog/how-chatgpt-actually-works/
,a11y-webring.club – A webring for digital accessibility practitioners,https://a11y-webring.club/
,10 Ways Designers and Researchers Can Meaningfully Engage With Disabled People in 2023,https://alexhaagaard.medium.com/10-ways-designers-and-researchers-can-meaningfully-engage-with-disabled-people-in-2023
,"The Performance Inequality Gap, 2023 – Infrequently Noted",https://infrequently.org/2022/12/performance-baseline-2023/
,Building Resilient Organizations – Forge Organizing,https://forgeorganizing.org/article/building-resilient-organizations
,Recognizing Cultural Bias in AI – POCIT,https://peopleofcolorintech.com/articles/recognizing-cultural-bias-in-ai/
,The Writings of a Privileged Mediocre White Man – Todd Libby,https://toddl.dev/posts/the-writings-of-a-privileged-mediocre-white-man/
,Astro & View Transitions API Demo,https://astro-view-transitions.netlify.app/
,What's New in WCAG 2.2 – W3C,https://www.w3.org/WAI/standards-guidelines/wcag/new-in-22/
,"Browsers, JSON, and FormData – Jim Nielsen",https://blog.jim-nielsen.com/2022/browsers-json-formdata/
,Spicy Sections – CSS-Tricks,https://css-tricks.com/spicy-sections/
,UI Animations with the Shared Element Transitions API – Smashing Magazine,https://www.smashingmagazine.com/2022/10/ui-animations-shared-element-transitions-api-part2/
,Building a Like Button with Cloudflare Workers,https://andrewwalpole.com/blog/building-a-like-button-with-cloudflare-workers/
,Beautify Your GitHub Profile – CSS-Tricks,https://css-tricks.com/beautify-github-profile/
,Favicon Best Practices – IconMap.io,https://iconmap.io/blog
,Dropping Support For IE11 Is Progressive Enhancement,https://blog.carlmjohnson.net/post/2020/time-to-kill-ie11/
,Exploring @property and its Animating Powers – CSS-Tricks,https://css-tricks.com/exploring-property-and-its-animating-powers/
